GrammyAward,GrammyYear,Genre,Name,Artist
Best Rock Song,2002,Rock,The Rising,Bruce Springsteen
Best Female R&B Vocal Performance,2002,R&B,He Think i Don't Know,Mary j Blige
Best Male R&B Vocal Performance,2002,R&B,u Don't Have to Call,Usher
Best Urban/Alternative Performance,2002,R&B,Little Things,Indiaarie
Best R&B Song,2002,R&B,Love of My Life (an Ode to Hip Hop),Erykah Badu Featuring Common
Best Female Rap Solo Performance,2002,Rap,Scream A.k.a. Itchin',Missy Elliott
Best Male Rap Solo Performance,2002,Rap,Hot in Herre,Nelly
Best Rap Performance By A Duo Or Group,2002,Rap,The Whole World,Outkast Featuring Killer Mike
Best Female Country Vocal Performance,2002,Country,Cry,Faith Hill
Best Male Country Vocal Performance,2002,Country,Give My Love to Rose,Johnny Cash
Best Country Song,2002,Country,where Were you (when the World Stopped Turning),Alan Jackson
Record Of The Year,2001,General,Walk on,U2
Song Of The Year,2001,General,Fallin',Alicia Keys
Best Female Pop Vocal Performance,2001,Pop,I'm Like a Bird,Nelly Furtado
Best Male Pop Vocal Performance,2001,Pop,Don't Let Me be Lonely Tonight,James Taylor
Best Pop Performance By A Duo Or Group With Vocal,2001,Pop,Stuck in a Moment you Can't Get Out of,U2
Best Pop Collaboration With Vocals,2001,Pop,Lady Marmalade,"Christina Aguilera, Lil' Kim, Mya & Pink"
Best Dance Recording,2001,Pop,all for you,Janet Jackson
Best Female Rock Vocal Performance,2001,Rock,Get Right with God,Lucinda Williams
Best Male Rock Vocal Performance,2001,Rock,Dig in,Lenny Kravitz
Best Rock Performance By A Duo Or Group With Vocal,2001,Rock,Elevation,U2
Best Hard Rock Performance,2001,Rock,Crawling,Linkin Park
Best Metal Performance,2001,Rock,Schism,Tool
Best Rock Song,2001,Rock,Drops of Jupiter,Train
Best Female R&B Vocal Performance,2001,R&B,Fallin',Alicia Keys
Best Male R&B Vocal Performance,2001,R&B,u Remind Me,Usher
Best R&B Song,2001,R&B,Fallin',Alicia Keys
Best Rap Solo Performance,2001,Rap,Get Ur Freak on,"Missy ""Misdemeanor"" Elliott"
Best Rap Performance By A Duo Or Group,2001,Rap,Ms. Jackson,Outkast
Best Female Country Vocal Performance,2001,Country,Shine,Dolly Parton
Best Male Country Vocal Performance,2001,Country,o Death,Ralph Stanley
Best Country Song,2001,Country,The Lucky One,Alison Krauss & Union Station
Record Of The Year,2000,General,Beautiful Day,U2
Song Of The Year,2000,General,Beautiful Day,"Bono, Adam Clayton, Edge, Larry Mullen Jr), Songwriter (U2"
Best Female Pop Vocal Performance,2000,Pop,i Try,Macy Gray
Best Male Pop Vocal Performance,2000,Pop,She Walks this Earth (Soberana Rosa),Sting
Best Pop Performance By A Duo Or Group With Vocal,2000,Pop,Cousin Dupree,Steely Dan
Best Pop Collaboration With Vocals,2000,Pop,"Is you Is, or is you Ain't (My Baby)",Bb. KingÂ & Dr. John
Best Dance Recording,2000,Pop,Who Let the Dogs Out,Baha Men
Best Female Rock Vocal Performance,2000,Rock,There Goes the Neighborhood,Sheryl Crow
Best Male Rock Vocal Performance,2000,Rock,Again,Lenny Kravitz
Best Rock Performance By A Duo Or Group With Vocal,2000,Rock,Beautiful Day,U2
Best Hard Rock Performance,2000,Rock,Guerrilla Radio,Rage Against the Machine
Best Metal Performance,2000,Rock,Elite,Deftones
Best Rock Song,2000,Rock,With Arms Wide Open,Creed
Best Female R&B Vocal Performance,2000,R&B,He Wasn't Man Enough,Toni Braxton
Best Male R&B Vocal Performance,2000,R&B,Untitled (How Does it Feel),D'angelo
Best R&B Song,2000,R&B,Say My Name,Destiny's Child
Best Rap Solo Performance,2000,Rap,The Real Slim Shady,Eminem
Best Rap Performance By A Duo Or Group,2000,Rap,Forgot About Dre,Dr Dre Featuring Eminem
Best Female Country Vocal Performance,2000,Country,Breathe,Faith Hill
Best Male Country Vocal Performance,2000,Country,Solitary Man,Johnny Cash
Best Country Song,2000,Country,i Hope you Dance,Lee Ann Womack
Record Of The Year,1999,General,Smooth,santanaÂ featuring Rob Thomas
Song Of The Year,1999,General,Smooth,Santana Featuring Rob Thomas
Best Female Pop Vocal Performance,1999,Pop,i will Remember you,Sarah Mclachlan
Best Male Pop Vocal Performance,1999,Pop,Brand New Day,Sting
Best Pop Performance By A Duo Or Group With Vocal,1999,Pop,Maria Maria,Santana
Best Pop Collaboration With Vocals,1999,Pop,Smooth,santanaÂ featuring Rob Thomas
Best Dance Recording,1999,Pop,Believe,Cher
Best Female Rock Vocal Performance,1999,Rock,Sweet Child O' Mine,Sheryl Crow
Best Male Rock Vocal Performance,1999,Rock,American Woman,Lenny Kravitz
Best Rock Performance By A Duo Or Group With Vocal,1999,Rock,Put your Lights on,santanaÂ featuring Everlast
Best Hard Rock Performance,1999,Rock,Whiskey in the jar,Metallica
Best Metal Performance,1999,Rock,Iron Man,Black Sabbath
Best Rock Song,1999,Rock,Scar Tissue,Red Hot Chili Peppers
Best Female R&B Vocal Performance,1999,R&B,It's not Right but It's Okay,Whitney Houston
Best Male R&B Vocal Performance,1999,R&B,Staying Power,Barry White
Best Rap Solo Performance,1999,Rap,My Name is,Eminem
Best Rap Performance By A Duo Or Group,1999,Rap,you Got Me,The rootsÂ featuring Erykah Badu
Best Female Country Vocal Performance,1999,Country,Man! i Feel Like a Woman!,Shania Twain
Best Male Country Vocal Performance,1999,Country,Choices,George Jones
Best Country Song,1999,Country,Come on over,Shania Twain
