GrammyAward,GrammyYear,Genre,Name,Artist
Best R&B Song,2015,R&B,Really Love,"'Angelo, Gina Figueroa & Kendra Foster, Songwriters"
Best Rap Performance,2015,Rap,Alright,Kendrick Lamar
Best Rap Song,2015,Rap,Alright,"Endrick Duckworth, Kawan Prather, Mark Anthony Spears & Pharrell Williams, Songwriters"
Best Country Solo Performance,2015,Country,Traveller,Chris Stapleton
Best Country Duo/Group Performance,2015,Country,Girl Crush,Little Big Town
Best Country Song,2015,Country,Girl Crush,"Illary Lindsey, Lori Mckenna & Liz Rose, Songwriters"
Best Improvised Jazz Solo,2015,Jazz,Cherokee,"Christian Mcbride, Soloist"
Best Gospel Performance/Song,2015,Gospel/Contemporary Christian Music,Wanna be Happy?,Kirk Franklin
Best Contemporary Christian Music Performance/Song,2015,Gospel/Contemporary Christian Music,Holy Spirit,"Francesca Battistelli, Artist"
Best American Roots Performance,2015,American Roots Music,See that My Grave is Kept Clean,Mavis Staples
Best American Roots Song,2015,American Roots Music,24 Frames,"Ason Isbell, Songwriter"
Best Song Written For Visual Media,2015,Composing/Arranging,Glory,"Onnie Lynn, Che Smith & John Stephens, Songwriters"
Record Of The Year,2014,General,Stay with Me (Darkchild Version),Sam Smith
Song Of The Year,2014,General,Stay with Me (Darkchild Version),Sam Smith
Best Pop Solo Performance,2014,Pop,Happy (Live),Pharrell Williams
Best Pop Duo/Group Performance,2014,Pop,Say Something,"a Great Big World (Ian Axel & Chad Vaccarino) & Christina Aguilera, Artists"
Best Dance Recording,2014,Dance/Electronic Music,Rather be,Clean Bandit Featuring Jess Glynne
Best Rock Performance,2014,Rock,Lazaretto,"Jack White, Artist"
Best Metal Performance,2014,Rock,The Last in Line,"Tenacious d (Jack Black & Kyle Gass), Artists"
Best Rock Song,2014,Rock,Ain't it Fun,Paramore
Best R&B Performance,2014,R&B,Drunk in Love,"Beyonc̩ & Jay Z, Artists (Beyonc̩ Featuring Jay z)"
