Artist,Genres,Popularity,No,Track.Name,Artist.Name,Genre,Beats.Per.Minute,Energy,Danceability,Loudness..dB..,Liveness,Valence.,Length.,Acousticness..,Speechiness.,Popularity (2),id,artist_name,track_name,track_id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
Ariana Grande,Pop; Dance; Romântico,53.1,3,boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,31,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,88,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,172325,4
Ariana Grande,Pop; Dance; Romântico,53.1,3,boyfriend (with Social House),Ariana Grande,dance pop,190,80,40,-4,16,70,186,12,46,85,48,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,173711,4
Ariana Grande,Pop; Dance; Romântico,53.1,32,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,31,Ariana Grande,positions,35mvY5S1H3J2QZyna3TFe0,88,0.737,0.802,0,-4.771,1,0.0878,0.468,0,0.0931,0.682,144.015,172325,4
Ariana Grande,Pop; Dance; Romântico,53.1,32,7 rings,Ariana Grande,dance pop,140,32,78,-11,9,33,179,59,33,89,48,Ariana Grande,34+35,6Im9k8u9iIzKMrmV7BWtlF,85,0.83,0.585,0,-6.476,1,0.094,0.237,0,0.248,0.485,109.978,173711,4
Ed Sheeran,Indie; Romântico; Pop/Rock,114.2,4,Beautiful People (feat. Khalid),Ed Sheeran,pop,93,65,64,-8,8,55,198,12,19,86,14,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,4
Ed Sheeran,Indie; Romântico; Pop/Rock,114.2,6,I Don't Care (with Justin Bieber),Ed Sheeran,pop,102,68,80,-5,9,84,220,9,4,84,14,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,4
Ed Sheeran,Indie; Romântico; Pop/Rock,114.2,38,Antisocial (with Travis Scott),Ed Sheeran,pop,152,82,72,-5,36,91,162,13,5,87,14,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,4
Ed Sheeran,Indie; Romântico; Pop/Rock,114.2,50,Cross Me (feat. Chance the Rapper & PnB Rock),Ed Sheeran,pop,95,79,75,-6,7,61,206,21,12,82,14,Ed Sheeran,Bad Habits,3rmo8F54jFF8OgYsqTxm5d,95,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.79E-05,0.366,0.537,126.011,230747,4
